Período2,Período,Região,Estado,Tipo,Quantidade
2020-01,Jan 2020,Sudeste,São Paulo,DENV1:V,3
2020-01,Jan 2020,Sudeste,São Paulo,DENV2:III-Asian-American,7
2020-02,Fev 2020,Sudeste,São Paulo,DENV1:V,2
2020-02,Fev 2020,Sudeste,São Paulo,DENV2:III-Asian-American,6
2020-03,Mar 2020,Sudeste,São Paulo,DENV1:V,2
2020-03,Mar 2020,Sudeste,São Paulo,DENV2:III-Asian-American,2
2020-04,Abr 2020,Sudeste,São Paulo,DENV1:V,1
2020-04,Abr 2020,Sudeste,São Paulo,DENV2:III-Asian-American,1
2021-01,Jan 2021,Sudeste,São Paulo,DENV2:III-Asian-American,2
2021-01,Jan 2021,Sudeste,São Paulo,DENV1:V,1
2021-02,Fev 2021,Norte,Acre,DENV2:II-Cosmopolitan,2
2021-02,Fev 2021,Sudeste,São Paulo,DENV1:V,3
2021-02,Fev 2021,Sudeste,São Paulo,DENV2:III-Asian-American,4
2021-03,Mar 2021,Nordeste,Bahia,DENV1:V,3
2021-03,Mar 2021,Norte,Pará,DENV1:V,1
2021-03,Mar 2021,Sudeste,São Paulo,DENV1:V,26
2021-03,Mar 2021,Sudeste,São Paulo,DENV2:III-Asian-American,10
2021-04,Abr 2021,Sudeste,São Paulo,DENV2:III-Asian-American,16
2021-04,Abr 2021,Sudeste,São Paulo,DENV3:V,1
2021-04,Abr 2021,Sudeste,São Paulo,DENV1:V,62
2021-05,Mai 2021,Centro-oeste,Mato Grosso do Sul,DENV2:III-Asian-American,1
2021-05,Mai 2021,Nordeste,Bahia,DENV1:V,2
2021-05,Mai 2021,Sudeste,São Paulo,DENV1:V,12
2021-05,Mai 2021,Sudeste,São Paulo,DENV2:III-Asian-American,8
2021-06,Jun 2021,Sudeste,São Paulo,DENV1:V,4
2021-06,Jun 2021,Sudeste,São Paulo,DENV2:III-Asian-American,2
2021-06,Jun 2021,Sudeste,Rio de Janeiro,DENV1:V,5
2021-06,Jun 2021,Norte,Pará,DENV1:V,2
2021-06,Jun 2021,Centro-oeste,Mato Grosso do Sul,DENV2:III-Asian-American,3
2021-06,Jun 2021,Norte,Tocantins,DENV2:III-Asian-American,2
2021-07,Jul 2021,Sudeste,Rio de Janeiro,DENV1:V,3
2021-07,Jul 2021,Centro-oeste,Mato Grosso do Sul,DENV2:II-Cosmopolitan,1
2021-07,Jul 2021,Centro-oeste,Mato Grosso do Sul,DENV2:III-Asian-American,1
2021-07,Jul 2021,Nordeste,Pernambuco,DENV2:II-Cosmopolitan,2
2021-07,Jul 2021,Norte,Pará,DENV1:V,2
2021-08,Ago 2021,Norte,Pará,DENV1:V,2
2021-09,Set 2021,Sudeste,Minas Gerais,DENV1:V,1
2021-09,Set 2021,Norte,Pará,DENV1:V,1
2021-10,Out 2021,Norte,Pará,DENV1:V,1
2021-11,Nov 2021,Norte,Tocantins,DENV1:V,24
2021-11,Nov 2021,Norte,Pará,DENV1:V,1
2021-12,Dez 2021,Norte,Pará,DENV1:V,2
2021-12,Dez 2021,Norte,Tocantins,DENV1:V,17
2021-12,Dez 2021,Norte,Tocantins,DENV2:III-Asian-American,2
2022-01,Jan 2022,Sul,Paraná,DENV1:V,1
2022-01,Jan 2022,Sudeste,São Paulo,DENV2:II-Cosmopolitan,1
2022-01,Jan 2022,Sul,Rio Grande do Sul,DENV2:II-Cosmopolitan,1
2022-01,Jan 2022,Norte,Tocantins,DENV1:V,2
2022-01,Jan 2022,Norte,Acre,DENV2:II-Cosmopolitan,4
2022-01,Jan 2022,Sudeste,São Paulo,DENV1:V,3
2022-02,Fev 2022,Centro-oeste,Goiás,DENV2:II-Cosmopolitan,2
2022-02,Fev 2022,Norte,Acre,DENV2:II-Cosmopolitan,6
2022-02,Fev 2022,Sudeste,São Paulo,DENV1:V,17
2022-02,Fev 2022,Sudeste,São Paulo,DENV2:II-Cosmopolitan,1
2022-02,Fev 2022,Sul,Paraná,DENV1:V,8
2022-02,Fev 2022,Sul,Paraná,DENV2:II-Cosmopolitan,2
2022-02,Fev 2022,Norte,Tocantins,DENV1:V,2
2022-03,Mar 2022,Sul,Rio Grande do Sul,DENV1:V,20
2022-03,Mar 2022,Sul,Paraná,DENV2:II-Cosmopolitan,27
2022-03,Mar 2022,Centro-oeste,Mato Grosso do Sul,DENV2:II-Cosmopolitan,1
2022-03,Mar 2022,Sul,Rio Grande do Sul,DENV2:III-Asian-American,2
2022-03,Mar 2022,Sul,Santa Catarina,DENV2:II-Cosmopolitan,1
2022-03,Mar 2022,Sul,Paraná,DENV1:V,34
2022-03,Mar 2022,Sul,Rio Grande do Sul,DENV2:II-Cosmopolitan,1
2022-03,Mar 2022,Sudeste,São Paulo,DENV2:III-Asian-American,6
