Sorotipo,Ano,Quantidade
DENV1,1982,2
DENV2,1982,0
DENV3,1982,0
DENV4,1982,2
DENV1,1986,4
DENV2,1986,0
DENV3,1986,0
DENV4,1986,0
DENV1,1988,1
DENV2,1988,0
DENV3,1988,0
DENV4,1988,0
DENV1,1989,4
DENV2,1989,0
DENV3,1989,0
DENV4,1989,0
DENV1,1990,82
DENV2,1990,31
DENV3,1990,0
DENV4,1990,0
DENV1,1991,4
DENV2,1991,3
DENV3,1991,0
DENV4,1991,0
DENV1,1994,1
DENV2,1994,2
DENV3,1994,0
DENV4,1994,0
DENV1,1995,0
DENV2,1995,12
DENV3,1995,0
DENV4,1995,0
DENV1,1996,7
DENV2,1996,9
DENV3,1996,0
DENV4,1996,0
DENV1,1997,24
DENV2,1997,7
DENV3,1997,0
DENV4,1997,0
DENV1,1998,15
DENV2,1998,16
DENV3,1998,0
DENV4,1998,0
DENV1,1999,13
DENV2,1999,11
DENV3,1999,0
DENV4,1999,0
DENV1,2000,23
DENV2,2000,12
DENV3,2000,0
DENV4,2000,0
DENV1,2001,16
DENV2,2001,11
DENV3,2001,2
DENV4,2001,0
DENV1,2002,16
DENV2,2002,10
DENV3,2002,22
DENV4,2002,0
DENV1,2003,4
DENV2,2003,4
DENV3,2003,30
DENV4,2003,0
DENV1,2004,3
DENV2,2004,2
DENV3,2004,21
DENV4,2004,0
DENV1,2005,3
DENV2,2005,2
DENV3,2005,13
DENV4,2005,3
DENV1,2006,3
DENV2,2006,12
DENV3,2006,132
DENV4,2006,0
DENV1,2007,28
DENV2,2007,12
DENV3,2007,94
DENV4,2007,1
DENV1,2008,7
DENV2,2008,66
DENV3,2008,9
DENV4,2008,0
DENV1,2009,13
DENV2,2009,8
DENV3,2009,3
DENV4,2009,3
DENV1,2010,25
DENV2,2010,63
DENV3,2010,2
DENV4,2010,11
DENV1,2011,39
DENV2,2011,23
DENV3,2011,2
DENV4,2011,36
DENV1,2012,22
DENV2,2012,5
DENV3,2012,2
DENV4,2012,124
DENV1,2013,55
DENV2,2013,15
DENV3,2013,13
DENV4,2013,440
DENV1,2014,19
DENV2,2014,2
DENV3,2014,1
DENV4,2014,3
DENV1,2015,50
DENV2,2015,2
DENV3,2015,1
DENV4,2015,6
DENV1,2016,20
DENV2,2016,12
DENV3,2016,0
DENV4,2016,0
DENV1,2017,4
DENV2,2017,4
DENV3,2017,2
DENV4,2017,0
DENV1,2018,43
DENV2,2018,32
DENV3,2018,1
DENV4,2018,0
DENV1,2019,74
DENV2,2019,252
DENV3,2019,0
DENV4,2019,0
DENV1,2020,9
DENV2,2020,17
DENV3,2020,0
DENV4,2020,0
DENV1,2021,177
DENV2,2021,56
DENV3,2021,1
DENV4,2021,0
DENV1,2022,635
DENV2,2022,182
DENV3,2022,1
DENV4,2022,0
DENV1,2023,942
DENV2,2023,276
DENV3,2023,14
DENV4,2023,1
DENV1,2024,6
DENV2,2024,1
DENV3,2024,0
DENV4,2024,1
